Frame,TPS
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,5.88
7,5.88
8,5.88
9,5.88
10,5.88
11,5.88
12,5.88
13,5.88
14,5.88
15,5.88
16,9.65
17,9.65
18,9.65
19,9.65
20,9.65
21,9.65
22,9.65
23,9.65
24,9.65
25,9.65
26,9.57
27,9.57
28,9.57
29,9.57
30,9.57
31,9.57
32,9.57
33,9.57
34,9.57
35,9.57
36,9.61
37,9.61
38,9.61
39,9.61
40,9.61
41,9.61
42,9.61
43,9.61
44,9.61
45,9.61
46,9.50
47,9.50
48,9.50
49,9.50
50,9.50
51,9.50
52,9.50
53,9.50
54,9.50
55,9.50
56,8.81
57,8.81
58,8.81
59,8.81
60,8.81
61,8.81
62,8.81
63,8.81
64,8.81
65,8.81
66,9.55
67,9.55
68,9.55
69,9.55
70,9.55
71,9.55
72,9.55
73,9.55
74,9.55
75,9.55
76,9.55
77,9.55
78,9.55
79,9.55
80,13.42
81,13.42
82,13.42
83,13.42
84,13.42
85,13.42
86,13.42
87,13.42
88,13.42
89,13.42
90,13.42
91,13.42
92,13.42
93,13.42
94,13.42
95,13.42
96,13.42
97,13.42
98,13.42
99,13.42
100,13.42
101,13.42
102,13.42
103,13.42
104,13.42
105,13.42
106,13.42
107,13.42
108,13.42
109,13.42
110,13.42
111,13.42
112,13.42
113,13.42
114,13.42
115,13.42
116,13.42
117,13.42
118,13.42
119,13.42
120,13.42
121,13.42
122,13.42
123,13.42
124,43.51
125,43.51
126,43.51
127,43.51
128,43.51
129,43.51
130,43.51
131,43.51
132,43.51
133,43.51
134,43.51
135,43.51
136,43.51
137,43.51
138,43.51
139,43.51
140,43.51
141,43.51
142,43.51
143,43.51
144,43.51
145,43.51
146,43.51
147,43.51
148,43.51
149,43.51
150,43.51
151,43.51
152,43.51
153,43.51
154,43.51
155,43.51
156,43.51
157,43.51
158,43.51
159,43.51
160,43.51
161,43.51
162,43.51
163,43.51
164,43.51
165,43.51
166,43.51
167,43.51
168,44.15
169,44.15
170,44.15
171,44.15
172,44.15
173,44.15
174,44.15
175,44.15
176,44.15
177,44.15
178,44.15
